id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; 
0481 ; FtrSpinning ; spinning wheel ; いとぐるま ; 紡車 ; 纺车 ; 물레 ; rouet ; Spinnrad ; rueca ; arcolaio ; spinnewiel ; прялка ; 
0485 ; FtrStoneoven ; brick oven ; いしがま ; 窯烤爐 ; 窑烤炉 ; 벽돌 가마 ; four en pierre ; Steinofen ; horno de ladrillo ; forno in mattoni ; stenen oven ; печь ; 
0489 ; FtrSugermilk ; cream and sugar ; シュガー&ミルク ; 糖＆牛奶 ; 糖＆牛奶 ; 슈거&밀크 ; pot de lait et sucre ; Milch- und Zuckerset ; bandeja con leche y azúcar ; latte con zucchero ; melk-en-suikerset ; сахар и сливки ; 
048D ; FtrSurveillance ; surveillance camera ; かんしカメラ ; 監控攝影機 ; 监控摄像机 ; 감시 카메라 ; caméra surveillance ; Überwachungskamera ; cámara de vigilancia ; telecamera di sicurezza ; bewakingscamera ; камера наблюдения ; 
0492 ; FtrSwingWood ; swinging bench ; ベンチブランコ ; 鞦韆椅 ; 秋千椅 ; 벤치 그네 ; balancelle ; Schwingschaukel ; balancín de jardín ; dondolo ; schommelbank ; садовые качели ; 
0493 ; FtrSynthesizer ; synthesizer ; シンセサイザー ; 電子琴 ; 电子琴 ; 신시사이저 ; synthétiseur ; Synthesizer ; sintetizador ; sintetizzatore ; synthesizer ; синтезатор ; 
0499 ; FtrTablesoccer ; foosball table ; テーブルサッカー ; 桌型足球台 ; 桌型足球台 ; 테이블 축구 ; baby-foot ; Kickertisch ; futbolín ; biliardino ; tafelvoetbalspel ; настольный футбол ; 
049D ; FtrTakkyu ; tennis table ; たっきゅうだい ; 乒乓球桌 ; 乒乓球桌 ; 탁구대 ; set tennis de table ; Tischtennisset ; tenis de mesa ; tavolo tennis da tavolo ; tafeltennistafel ; теннисный стол ; 
049E ; FtrTanabata ; bamboo grass ; たなばたのささ ; 七夕竹 ; 七夕竹 ; 소원성취 대나무 ; bambou à vœux ; Tanabata-Bambus ; caña de bambú ; pianta tradizionale ; bamboe ; ветвь бамбука ; 
04A1 ; FtrTelephonebox ; phone box ; でんわボックス ; 電話亭 ; 电话亭 ; 공중전화 부스 ; cabine téléphonique ; Telefonzelle ; cabina telefónica ; cabina del telefono ; telefooncel ; телефонная будка ; 
04A2 ; FtrTelescope ; telescope ; ぼうえんきょう ; 望遠鏡 ; 望远镜 ; 망원경 ; télescope ; Teleskop ; telescopio ; telescopio ; telescoop ; телескоп ; 
04A5 ; FtrTyres ; tire stack ; つまれたタイヤ ; 輪胎堆 ; 轮胎堆 ; 쌓인 타이어 ; pile de pneus ; Reifenstapel ; pila de neumáticos ; pila di pneumatici ; stapel autobanden ; стопка покрышек ; 
04AF ; FtrTricycle ; tricycle ; さんりんしゃ ; 三輪車 ; 三轮车 ; 세발자전거 ; tricycle ; Dreirad ; triciclo ; triciclo ; driewieler ; велосипедик ; 
04B0 ; FtrTrophyFishGold ; gold fish trophy ; きんのサカナトロフィー ; 魚兒金獎盃 ; 鱼儿金奖杯 ; 금 물고기 트로피 ; trophée pêche or ; Gold-Angelpokal ; pez de oro ; trofeo di pesca d'oro ; gouden vissenbeker ; золотой кубок рыбака ; 
04B1 ; FtrTrophyFishSilver ; silver fish trophy ; ぎんのサカナトロフィー ; 魚兒銀獎盃 ; 鱼儿银奖杯 ; 은 물고기 트로피 ; trophée pêche argent ; Silber-Angelpokal ; pez de plata ; trofeo di pesca d'argento ; zilveren vissenbeker ; серебряный кубок рыбака ; 
04B2 ; FtrTrophyFishBronz ; bronze fish trophy ; どうのサカナトロフィー ; 魚兒銅獎盃 ; 鱼儿铜奖杯 ; 동 물고기 트로피 ; trophée pêche bronze ; Bronze-Angelpokal ; pez de bronce ; trofeo di pesca di bronzo ; bronzen vissenbeker ; бронзовый кубок рыбака ; 
04B3 ; FtrTrophyInsectGold ; gold bug trophy ; きんのムシトロフィー ; 蟲子金獎盃 ; 虫类金奖杯 ; 금 곤충 트로피 ; trophée insecte or ; Gold-Insektenpokal ; bichotrofeo de oro ; trofeo insetti d'oro ; gouden beestjesbeker ; золот. кубок энтомолога ; 
04B4 ; FtrTrophyInsectSilver ; silver bug trophy ; ぎんのムシトロフィー ; 蟲子銀獎盃 ; 虫类银奖杯 ; 은 곤충 트로피 ; trophée insecte argent ; Silber-Insektenpokal ; bichotrofeo de plata ; trofeo insetti d'argento ; zilveren beestjesbeker ; серебр. кубок энтомолога ; 
04B5 ; FtrTrophyInsectBronz ; bronze bug trophy ; どうのムシトロフィー ; 蟲子銅獎盃 ; 虫类铜奖杯 ; 동 곤충 트로피 ; trophée insecte bronze ; Bronze-Insektenpokal ; bichotrofeo de bronce ; trofeo insetti di bronzo ; bronzen beestjesbeker ; бронзов. кубок энтомолога ; 
04BB ; FtrTypewriter ; typewriter ; タイプライター ; 打字機 ; 打字机 ; 타자기 ; machine à écrire ; Schreibmaschine ; máquina de escribir ; macchina da scrivere ; typemachine ; пишущая машинка ; 
04C1 ; FtrWCUrinal ; standing toilet ; しょうべんき ; 小便斗 ; 小便斗 ; 소변기 ; vespasienne ; Pissoir ; urinario de pared ; orinatoio ; urinoir ; писсуар ; 
04C5 ; FtrVideocamera ; video camera ; ビデオカメラ ; 攝影機 ; 摄影机 ; 비디오카메라 ; caméscope ; Videokamera ; cámara de vídeo ; videocamera ; videocamera ; видеокамера ; 
04CB ; FtrWashingmachineDrum ; deluxe washer ; ドラムしきせんたくき ; 滾筒式洗衣機 ; 滚筒式洗衣机 ; 드럼 세탁기 ; lave-linge d'expert ; Profi-Waschmaschine ; lavadora ; lavatrice deluxe ; luxe wasmachine ; стир. машина люкс ; 
04CD ; FtrWashstand ; bathroom sink ; せんめんだい ; 洗臉台 ; 洗脸台 ; 세면대 ; meuble lavabo ; Waschbecken ; lavabo ; lavandino da bagno ; wasbak ; раковина ; 
04D0 ; FtrWaterserver ; water cooler ; ウォーターサーバー ; 桶裝飲水機 ; 桶装饮水机 ; 정수기 ; fontaine à eau ; Wasserspender ; surtidor de agua ; distributore d'acqua ; waterkoeler ; кулер ; 
04D2 ; FtrWCPortable ; portable toilet ; かせつトイレ ; 流動廁所 ; 流动厕所 ; 이동식 화장실 ; cabine de WC mobile ; Toilettenhäuschen ; retrete portátil ; bagno chimico ; mobiele toiletcabine ; туалетная кабинка ; 
04D9 ; FtrWorkbench ; DIY workbench ; DIYさぎょうだい ; ＤＩＹ作業台 ; DIY作业台 ; DIY 작업대 ; établi ; Werkbank ; banco de bricolaje ; banco da lavoro ; werkbank ; верстак для поделок ; 
04DB ; FtrWreath ; flashy-flower sign ; はなわ ; 花環 ; 花环 ; 화환 ; panneau fleuri ; Blumengesteck ; cartel florido ; decorazione inaugurale ; bloemenbord ; яркий знак-цветок ; 
04EF ; FtrFruitsClosetLR ; pear wardrobe ; ナシのクロゼット ; 梨子衣櫃 ; 梨子衣柜 ; 배 옷장 ; armoire poire ; Birnenschrank ; armario pera ; armadio pera ; perenkast ; шкаф-груша ; 
04F2 ; FtrPirateBarrel ; barrel ; たる ; 木桶 ; 木桶 ; 나무통 ; tonneau ; Fass ; tonel ; barile ; vat ; бочка ; 
04F4 ; FtrPirateCannon ; pirate-ship cannon ; かいぞくのたいほう ; 海盜大砲 ; 海盗大炮 ; 해적 대포 ; canon de bateau pirate ; Piratenschiffskanone ; cañón de barco pirata ; cannone pirata ; piratenscheepskanon ; пиратская пушка ; 
04F9 ; FtrPirateWheel ; pirate-ship helm ; かいぞくのかじ ; 海盜船舵 ; 海盗船舵 ; 해적 방향키 ; barre de bateau pirate ; Piratenschiffssteuerrad ; timón de barco pirata ; timone pirata ; piratenroer ; пиратский штурвал ; 
04FD ; FtrPlantCacao ; cacao tree ; カカオ ; 可可樹 ; 可可树 ; 카카오 ; cacaoyer ; Kakaobaum ; planta de cacao ; pianta di cacao ; cacaoboom ; шоколадное дерево ; 
0508 ; FtrPlantYamadoriyashi ; fan palm ; ヤマドリヤシ ; 黃椰子 ; 黄椰子 ; 아레카야자 ; palmier d'Arec ; Fächerpalme ; palmera ; palma cinese ; dypsis ; веерная пальма ; 
051C ; FtrSchoolChairS ; school chair ; がっこうのイス ; 學校椅子 ; 课椅 ; 학교 의자 ; chaise d'écolier ; Schulstuhl ; silla escolar ; sedia da scuola ; schoolstoel ; ученический стул ; 
0525 ; FtrAnatomicalmodel ; anatomical model ; じんたいもけい ; 人體模型 ; 人体模型 ; 인체 모형 ; modèle musculaire ; Anatomiemodell ; modelo anatómico ; modellino anatomico ; anatomiemodel ; анатомическая модель ; 
0527 ; FtrMicroscope ; microscope ; けんびきょう ; 顯微鏡 ; 显微镜 ; 현미경 ; microscope ; Mikroskop ; microscopio ; microscopio ; microscoop ; микроскоп ; 
052E ; FtrSchoolSkeleton ; skeleton ; こっかくひょうほん ; 骨骼標本 ; 骨骼标本 ; 해골 모형 ; squelette ; Skelett ; modelo de esqueleto ; scheletro ; skelet ; скелет ; 
0530 ; FtrSchoolTableS ; school desk ; がっこうのつくえ ; 學校桌子 ; 课桌 ; 학교 책상 ; pupitre ; Schultisch ; mesa escolar ; banco di scuola ; schoolbureau ; парта ; 
0531 ; FtrLectern ; podium ; こうえんだい ; 演講台 ; 演讲台 ; 교단 ; bureau de professeur ; Lehrerpult ; escritorio de profe ; cattedra antica ; spreekgestoelte ; стол докладчика ; 
0532 ; FtrSchoolTeachertable ; basic teacher's desk ; きょうたく ; 講桌 ; 讲台 ; 교탁 ; bureau du prof ; Schulpult ; mesa de maestro ; cattedra da professore ; lerarenbureau ; учительский стол ; 
0544 ; FtrHamstercage ; hamster cage ; ハムスターのかご ; 倉鼠籠 ; 仓鼠笼 ; 햄스터 철장 ; cage à hamster ; Hamsterkäfig ; jaula de hámster ; gabbia per criceti ; hamsterkooi ; клетка для хомяка ; 
0583 ; FtrGlobe ; globe ; ちきゅうぎ ; 地球儀 ; 地球仪 ; 지구의 ; globe terrestre ; Globus ; globo terráqueo ; mappamondo ; globe ; глобус ; 
0584 ; FtrCameraTV ; TV camera ; テレビカメラ ; 攝影棚錄影機 ; 摄影棚录影机 ; TV 카메라 ; caméra de télévision ; Fernsehkamera ; cámara de televisión ; telecamera da TV ; tv-camera ; телекамера ; 
0595 ; FtrBonfire ; campfire ; たきび ; 炊火 ; 炊火 ; 모닥불 ; feu de camp ; Lagerfeuer ; fuego de campamento ; fuoco da campo ; kampvuur ; костер ; 
0596 ; FtrCampfire ; bonfire ; キャンプファイア ; 營火 ; 篝火 ; 캠프파이어 ; feu de joie ; Feuerstelle ; hoguera ; fuoco di bivacco ; vreugdevuur ; большой костер ; 
0598 ; FtrLantern ; lantern ; ランタン ; 油燈 ; 油灯 ; 랜턴 ; lanterne ; Laterne ; farol ; lanterna ; lantaarn ; фонарь ; 
0599 ; FtrMesstin ; campfire cookware ; はんごう ; 野營飯盒 ; 野营饭盒 ; 반합 ; casserole de camping ; Camping-Kochkessel ; cazuela sobre hoguera ; falò da campeggio ; kampvuurketel ; котелок на костре ; 
059A ; FtrSleepingbag ; sleeping bag ; シュラフ ; 睡袋 ; 睡袋 ; 침낭 ; sac de couchage ; Schlafsack ; saco de dormir ; sacco a pelo ; slaapzak ; спальный мешок ; 
059F ; FtrMeteo ; asteroid ; いんせき ; 隕石 ; 陨石 ; 운석 ; astéroïde ; Asteroid ; asteroide ; asteroide ; asteroïde ; астероид ; 
05A0 ; FtrModule ; lunar lander ; ちゃくりくせん ; 登月艙 ; 登月舱 ; 달착륙선 ; module lunaire ; Landefähre ; módulo lunar ; sonda lunare ; maanlander ; посадочный модуль ; 
05A1 ; FtrRocket ; rocket ; ロケット ; 火箭 ; 火箭 ; 로켓 ; fusée ; Rakete ; cohete espacial ; missile ; raket ; ракета ; 
05A2 ; FtrMoonrover ; lunar rover ; げつめんいどうしゃ ; 月球車 ; 月球车 ; 월면이동차 ; véhicule lunaire ; Mondfahrzeug ; explorador lunar ; rover lunare ; maanvoertuig ; луноход ; 
05A3 ; FtrSatellite ; satellite ; じんこうえいせい ; 人工衛星 ; 人工卫星 ; 인공위성 ; satellite ; Raumsonde ; satélite ; satellite ; satelliet ; спутник ; 
05A4 ; FtrShuttle ; space shuttle ; スペースシャトル ; 太空梭 ; 太空梭 ; 우주왕복선 ; navette spatiale ; Raumfähre ; transbordador ; shuttle ; ruimteshuttle ; космический челнок ; 
05A5 ; FtrSpacesuit ; astronaut suit ; アストロノーツ ; 太空人 ; 太空人 ; 우주 비행사 ; spationaute ; Astronautenanzug ; astronauta ; tuta da astronauta ; astronautenpak ; скафандр космонавта ; 
05A7 ; FtrUFO ; flying saucer ; そらとぶえんばん ; 飛碟 ; 飞碟 ; 하늘 나는 원반 ; soucoupe volante ; UFO ; platillo volante ; disco volante ; vliegende schotel ; летающая тарелка ; 
05A9 ; FtrCello ; cello ; チェロ ; 大提琴 ; 大提琴 ; 첼로 ; violoncelle ; Cello ; violonchelo ; violoncello ; cello ; виолончель ; 
05AC ; FtrPressbench ; weight bench ; プレスベンチ ; 舉重椅 ; 举重床 ; 벤치프레스 ; banc de muscu ; Hantelbank ; banco de pesas ; panca con pesi ; drukbank ; скамья для жима ; 
05B0 ; FtrGong ; judge's bell ; ゴング ; 拳擊鐘 ; 拳击钟 ; 시합을 알리는 공 ; gong ; Rundengong ; campana de juez ; campanella ; wedstrijdbel ; судейский звонок ; 
05D7 ; FtrDoll ; dolly ; おにんぎょう ; 洋娃娃 ; 洋娃娃 ; 인형 ; poupée ; Püppchen ; muñeca ; bambolina ; pop ; кукла ; 
05DB ; FtrBearL ; Papa bear ; くまのダイちゃん ; 大熊熊 ; 大熊熊 ; 큰 곰인형 ; papa ours ; Papa-Bär ; papá oso ; papà orso ; papabeer ; папа-медведь ; 
05DC ; FtrBearM ; Mama bear ; くまのナミちゃん ; 中熊熊 ; 中熊熊 ; 중간 곰인형 ; maman ours ; Mama-Bär ; mamá oso ; mamma orsa ; mamabeer ; мама-медведица ; 
05DD ; FtrBearS ; Baby bear ; くまのチビちゃん ; 小熊熊 ; 小熊熊 ; 작은 곰인형 ; bébé ours ; Baby-Bär ; osito ; orsetto ; babybeer ; медвежонок ; 
05E0 ; FtrBearXL ; giant teddy bear ; くまのトクダイちゃん ; 特大熊熊 ; 特大熊熊 ; 특대 곰인형 ; nounours géant ; Riesenteddy ; papá oso gigante ; orsacchiotto gigante ; reuzenteddybeer ; огромный мишка ; 
05E3 ; FtrTurncup ; teacup ride ; まわるコーヒーカップ ; 旋轉咖啡杯 ; 旋转咖啡杯 ; 빙글빙글 커피 잔 ; manège tasses à café ; Drehkaffeetasse ; atracción tazas giratorias ; giostra tazze da caffè ; theekopcarrousel ; карусель-чашки ; 
05E5 ; FtrHerorobot ; robot hero ; ヒーローロボ ; 英雄機器人 ; 英雄机器人 ; 히어로 로봇 ; robot géant ; Heldenroboter ; robot gigante ; eroe robot ; robotheld ; робот-герой ; 
0615 ; FtrBlockBedS ; wooden-block bed ; つみきベッド ; 積木床鋪 ; 积木床铺 ; 나무블록 침대 ; lit blocs de bois ; Bauklotzbett ; cama construcciones ; letto blocchi di legno ; houtblokbed ; кровать из дерев. блоков ; 
0616 ; FtrBlockShelf ; wooden-block bookshelf ; つみきブックシェルフ ; 積木書櫃 ; 积木书柜 ; 나무블록 북 쉘프 ; bibliothèque blocs de bois ; Bauklotzbücherregal ; estantería construcciones ; libreria blocchi di legno ; houtblokboekenkast ; стеллаж из дерев. блоков ; 
0617 ; FtrBlockChairL ; wooden-block bench ; つみきベンチ ; 積木長椅 ; 积木长凳 ; 나무블록 벤치 ; banc blocs de bois ; Bauklotzbank ; banco construcciones ; panca blocchi di legno ; houtblokbank ; лавка из дерев. блоков ; 
0619 ; FtrBlockChest ; wooden-block chest ; つみきチェスト ; 積木矮櫃 ; 积木矮柜 ; 나무블록 수납장 ; commode blocs de bois ; Bauklotzkommode ; cómoda construcciones ; comò blocchi di legno ; houtblokladekast ; комод из дерев. блоков ; 
061D ; FtrBlockTableL ; wooden-block table ; つみきテーブル ; 積木桌 ; 积木桌 ; 나무블록 테이블 ; table blocs de bois ; Bauklotztisch ; mesa construcciones ; tavolo blocchi di legno ; houtbloktafel ; стол из дерев. блоков ; 
061F ; FtrDrumcan ; oil barrel ; ドラムかん ; 汽油桶 ; 汽油桶 ; 드럼통 ; baril de pétrole ; Ölfass ; barril de petróleo ; fusto di petrolio ; olievat ; нефтяная бочка ; 
063E ; FtrBalanceball ; exercise ball ; バランスボール ; 瑜伽球 ; 瑜伽球 ; 짐 볼 ; ballon de gymnastique ; Gymnastikball ; pelota de ejercicios ; palla da pilates ; gymnastiekbal ; фитбол ; 
0646 ; FtrServingcart ; serving cart ; サービングカート ; 服務餐車 ; 服务餐车 ; 서빙 카트 ; chariot de service ; Servierwagen ; carrito de servicio ; carrello da portate ; serveerwagen ; столик-тележка ; 
0654 ; FtrHammock ; hammock ; ハンモック ; 吊床 ; 吊床 ; 해먹 ; hamac ; Hängematte ; hamaca ; amaca ; hangmat ; гамак ; 
0655 ; FtrVinylchair ; lawn chair ; ビニールチェア ; 休閒塑膠椅 ; 休闲塑胶绑带椅 ; 비닐 체어 ; chaise de plage ; Gartenstuhl ; silla de jardín ; sedia da giardino ; tuinstoel ; садовый стул ; 
0658 ; FtrDwarf ; garden gnome ; ノームのおきもの ; 地精擺飾 ; 地精摆饰 ; 노움 모형 ; nain de jardin ; Gartenzwerg ; gnomo de jardín ; gnomo da giardino ; tuinkabouter ; садовый гномик ; 
0659 ; FtrIrongardenBench ; iron garden bench ; アイアンガーデンベンチ ; 鑄鐵花園長椅 ; 花园铸铁长椅 ; 아이언 가든 벤치 ; banc de jardin fer ; Romantikgartenbank ; banco de forja ; panca da giardino di ferro ; ijzeren tuinbank ; железная скамья ; 
065A ; FtrIrongardenChair ; iron garden chair ; アイアンガーデンチェア ; 鑄鐵花園椅 ; 花园铸铁椅 ; 아이언 가든 체어 ; chaise de jardin fer ; Romantikgartenstuhl ; silla de forja ; sedia da giardino di ferro ; ijzeren tuinstoel ; железный стул ; 
065B ; FtrIrongardenTable ; iron garden table ; アイアンガーデンテーブル ; 鑄鐵花園桌 ; 花园铸铁桌 ; 아이언 가든 테이블 ; table de jardin fer ; Romantikgartentisch ; mesa de forja ; tavolo da giardino di ferro ; ijzeren tuintafel ; железный стол ; 
065C ; FtrLampGarden ; garden lantern ; ガーデンライト ; 花園燈 ; 花园灯 ; 정원 랜턴 ; lampe de jardin ; Gartenlaterne ; farol de jardín ; lanterna da giardino ; tuinlantaarn ; садовый фонарь ; 
065F ; FtrWaterview ; garden faucet ; ウォータービュー ; 花園水龍頭 ; 花园水龙头 ; 정원 수도꼭지 ; robinet de jardin ; Gartenwasserhahn ; grifo de jardín ; fontanella da giardino ; tuinkraan ; садовый кран ; 
0660 ; FtrGolfbag ; golf bag ; ゴルフバッグ ; 高爾夫球袋 ; 高尔夫球袋 ; 골프백 ; sac de golf ; Profi-Golftasche ; bolsa de golf ; sacca da golf ; golftas ; бэг для гольфа ; 
066C ; FtrElectricguitar1 ; rock guitar ; エレキギターES1 ; 電吉他ES1 ; 电吉他ES1 ; 일렉트릭기타 ES1 ; guitare rock ; Rock-Gitarre ; guitarra rock ; chitarra rock ; rockgitaar ; рок-гитара ; 
